Episode,Reward_Raw,Reward_Smoothed
1,23.070263156219944,28.183211416108527
2,32.35341793682503,28.698952021357645
3,28.471204122632642,25.390640936832057
4,26.517226831775464,25.064224944833864
5,30.50394503308956,25.662992819173347
6,25.64896618246551,24.40687512938953
7,15.811862514197095,24.678012000339745
8,26.839124162641692,26.788821595420945
9,29.511066203472847,27.22037891887389
10,24.223356584170496,27.60432715892553
11,27.004650537216595,29.301116068238994
12,26.36591048960309,29.445347242477066
13,28.996910779906425,29.892293276002952
14,31.430807403731034,30.3356286871308
15,32.70730113073784,30.784265938348085
16,27.725806408406942,30.95856351865789
17,28.60064065723251,31.503883093614533
18,31.213587835545653,31.287812226684142
19,33.67399365981746,31.163151594376085
20,33.578789032286856,31.704009127784843
21,30.452404283190177,31.663145130190532
22,27.520286322580567,32.022737714744565
23,30.59028467400536,32.10430731501986
24,36.37828132686126,33.66392059130172
25,33.3744690443153,33.058718940353046
26,32.250367205960345,33.501819054102086
27,27.928134323957025,33.56874174960036
28,38.38835105541464,35.5850629350746
29,33.352273072117924,33.981185955285376
30,35.5899696130605,34.12449723176997
31,32.58498068345172,32.814483404865186
32,38.00974025132821,33.77674269540007
33,30.368966156468517,32.91211659699573
34,34.068829454540925,33.635350789264585
35,29.039900478536538,33.14688150676555
36,37.396277136126116,34.535364723615814
37,33.68660975930657,34.38703652043981
38,33.985137117812776,34.70481125842104
39,31.626483042045788,34.08273029738354
40,35.98231656278784,35.450179772950676
41,36.65463612024606,34.67640841349053
42,35.27548344921273,34.3725812820918
43,30.87473231262528,33.05865037617682
44,38.46373041988145,34.67289676112366
45,32.11345976548709,34.906085616369424
46,35.13550046325243,35.41683305851136
47,28.705828919637852,35.58365293561349
48,38.94596423735948,36.25800102041289
49,39.62967469611028,36.26846233220065
50,34.66719697619677,34.94482018279336
51,35.969599848763075,35.39209760528322
52,32.077569343634835,35.207899653313916
53,38.99827079629827,36.16525317286863
54,33.01146394907383,35.62047886102005
55,36.903584088646085,35.5319104695367
56,35.04861008891655,34.87293667676205
57,36.864336941408425,34.87964947167893
58,36.274399237055334,34.37753493526493
59,32.5686219916571,34.254309793267424
60,33.60871512477284,34.79578179460476
61,35.082174063500936,35.141487046327896
62,34.35376425933844,34.64772771293847
63,35.65827352706778,33.604951573908636
64,35.27598199834378,34.13071548587291
65,35.33724138338853,34.121079656348705
66,32.61337739655381,33.55141655494797
67,29.139883564189272,34.31687208261116
68,38.28709308688914,35.070126850079276
69,35.22780285072275,34.981794200177134
70,32.48892587638486,35.348925593347495
71,36.44065503486977,35.233129060948606
72,32.906157401529825,35.02860976696125
73,37.845429837378454,35.03267922778957
74,37.06345981657456,34.65920117382581
75,31.909943214390406,34.78044234075939
76,35.418058564933006,35.90412440871893
77,32.92650470567141,
78,35.978039567559634,
79,37.66966565124248,
80,37.528353554188115,
